run_id,model_id,sample_id,audio_path,reference_text,hypothesis_text,duration_sec,latency_sec,rtf,peak_memory_mb,mean_confidence,wer,cer,token_precision,token_recall,token_f1,exact_match,reference_token_count,hypothesis_token_count
20260527_203830,whisper:tiny,new__tri_kitajca,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\new\tri_kitajca.wav,"Жили-были три китайца: Як, Як-цедрак, Як-цедрак-цедрак-цедрони. Жили-были три китайки: Цыпа, Цыпа-дрыпа, Цыпа-дрыпа-дрымпампони. Все они переженились: Як на Цыпе, Як-цедрак на Цыпе-дрыпе, Як-цедрак-цедрак-цедрони на Цыпе-дрыпе-дрымпампони. И у них родились дети. У Яка с Цыпой — Шах, у Яка-цедрака с Цыпой-дрыпой — Шах-шарах, у Яка-цедрака-цедрака-цедрони с Цыпой-дрыпой-дрымпампони — Шах-шарах-шарах-широни.","Жели были треки Таятся, як и акцодрак, як за драк Цидронней. Жели были треки Таики, цепо, цепо дрыг怎么 отце под рыпа дремп Compony. Все они переживались, як на цепик страфihnец и дрепи. На цеп Erfolg ставят страдки. И вы transition к д prolongу детறов Advisory Formок. Вы буд griставотребки как кранях. при дрыпы шахшерах, у якацы дракацы дракацы дронисты, при дрыпы дрым помпонии шахшерахшерони.",26.58,39.45206929999404,1.4842764973662166,67.40040493011475,0.18226312831747796,0.8873239436619719,0.5189873417721519,0.171875,0.15492957746478872,0.16296296296296295,0.0,71,64
20260527_203830,whisper:tiny,person1__carl,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person1\carl.wav,"Карл у Клары украл кораллы, а Клара у Карла украла кларнет.","Карл уклара украл рекламу, а кладал карл украла бюджет.",4.0935,1.1257463000001735,0.2750082569928359,1.251704216003418,0.5292336943190492,0.6363636363636364,0.3404255319148936,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.0,11,9
20260527_203830,whisper:tiny,person1__salo,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person1\salo.wav,"Съел Слава солено сало, да сала Славе мало.",bent他 геточку для маньяка. Хода в서면서 геточку. В carulage agua beautiful it sounds tesenary and looker.,2.8335,6.588087199997972,2.3250704782064484,0.8654813766479492,0.005311446286332416,2.0,2.264705882352941,0.0,0.0,0.0,0.0,8,16
20260527_203830,whisper:tiny,person1__sasha,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person1\sasha.wav,Шла Саша по шоссе и сосала сушку.,"Что нас раньше, по<|hi|>仔се слово сушке.",2.4935,5.829597900003137,2.3379177461412217,0.7617216110229492,0.02027021958329176,1.0,0.6923076923076923,0.125,0.14285714285714285,0.13333333333333333,0.0,7,8
20260527_203830,whisper:tiny,person1__skorogovorun,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person1\skorogovorun.wav,"Скороговорун скороговорил скоровыговаривал, что всех скороговорок не перескороговоришь не перескоровыговариваешь, но, заскороговорившись, выскороговорил, что все скороговорки перескороговоришь, да не перескоровыговариваешь.","Скороговы Champions», Гаруарунск, арголи Маррийового, и «Дубаривого», «Дубisoft, Гарь Рiveign», «Дуб Арьи», «Дуба Сарголи не перескрывает.anish Рiveignи», Pressure the song. Pressure the song. Pressure the song.τάшву.",14.2535,22.29361479999352,1.5640800364818128,4.352877616882324,0.0584378099966989,1.35,0.8121827411167513,0.03571428571428571,0.05,0.041666666666666664,0.0,20,28
20260527_203830,whisper:tiny,person1__tri_kitajca,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person1\tri_kitajca.wav,"Жили-были три китайца: Як, Як-цедрак, Як-цедрак-цедрак-цедрони. Жили-были три китайки: Цыпа, Цыпа-дрыпа, Цыпа-дрыпа-дрымпампони. Все они переженились: Як на Цыпе, Як-цедрак на Цыпе-дрыпе, Як-цедрак-цедрак-цедрони на Цыпе-дрыпе-дрымпампони. И у них родились дети. У Яка с Цыпой — Шах, у Яка-цедрака с Цыпой-дрыпой — Шах-шарах, у Яка-цедрака-цедрака-цедрони с Цыпой-дрыпой-дрымпампони — Шах-шарах-шарах-широни.",slightly,28.1735,28.121436000001268,0.9981520222904953,8.604357719421387,0.004304840408384565,1.0,1.0,0.0,0.0,0.0,0.0,71,1
20260527_203830,whisper:tiny,person10__carl,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person10\carl.wav,"Карл у Клары украл кораллы, а Клара у Карла украла кларнет.","Карл, калар и калара, калара у калара у калара. Бледский каларный.",6.6535,6.276233199998387,0.9432979935369936,2.031283378601074,0.4033232003216609,0.8181818181818182,0.5531914893617021,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,11,11
20260527_203830,whisper:tiny,person10__salo,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person10\salo.wav,"Съел Слава солено сало, да сала Славе мало.","Сел слава солена сала, до сала славе мало.",4.1735,0.9670059999989462,0.2317014496223664,1.2744474411010742,0.5827665088498655,0.5,0.11764705882352941,0.5,0.5,0.5,0.0,8,8
20260527_203830,whisper:tiny,person10__sasha,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person10\sasha.wav,Шла Саша по шоссе и сосала сушку.,"Шла саше, по шассе и со сау сушку.",4.2935,0.9902988999965601,0.2306507278436148,1.3110685348510742,0.4223314925443289,0.5714285714285714,0.15384615384615385,0.5,0.5714285714285714,0.5333333333333333,0.0,7,8
20260527_203830,whisper:tiny,person10__skorogovorun,C:\Users\mxmikk\Desktop\asr-ru-pl-speech-translation\data\raw\person10\skorogovorun.wav,"Скороговорун скороговорил скоровыговаривал, что всех скороговорок не перескороговоришь не перескоровыговариваешь, но, заскороговорившись, выскороговорил, что все скороговорки перескороговоришь, да не перескоровыговариваешь.",Скоррговарзл teenager Вitol в Rhodanoëj,24.6935,18.80253129999619,0.7614364630366772,7.5372419357299805,0.010682878072333698,1.0,0.9289340101522843,0.0,0.0,0.0,0.0,20,5
